file_audio;room_type;volume_m3;t30_1000Hz;t30_2000Hz;t30_4000Hz;t30_broadband
aula_variants_150/aula_001.wav;aula;224.925;6.54;6.128;2.827;5.357
aula_variants_150/aula_002.wav;aula;210.859;5.151;4.859;2.602;4.459
aula_variants_150/aula_003.wav;aula;232.045;6.06;4.33;3.404;4.965
aula_variants_150/aula_004.wav;aula;177.068;5.488;5.414;2.727;4.339
aula_variants_150/aula_005.wav;aula;175.922;1.342;2.246;1.554;1.336
aula_variants_150/aula_006.wav;aula;199.885;3.234;2.062;2.053;2.065
aula_variants_150/aula_007.wav;aula;219.504;5.361;1.973;1.014;1.032
aula_variants_150/aula_008.wav;aula;220.161;6.779;2.679;2.468;4.442
aula_variants_150/aula_009.wav;aula;186.627;2.559;1.862;1.858;1.864
aula_variants_150/aula_010.wav;aula;196.429;6.293;4.524;3.521;4.554
aula_variants_150/aula_011.wav;aula;192.894;5.48;3.583;2.678;4.612
aula_variants_150/aula_012.wav;aula;247.796;6.131;2.273;2.275;3.046
aula_variants_150/aula_013.wav;aula;198.192;3.038;3.006;2.459;2.482
aula_variants_150/aula_014.wav;aula;212.741;4.295;3.553;2.298;3.143
aula_variants_150/aula_015.wav;aula;166.631;2.465;2.463;1.428;1.524
aula_variants_150/aula_016.wav;aula;198.385;2.333;2.146;1.488;2.028
aula_variants_150/aula_017.wav;aula;184.462;4.003;3.356;2.644;3.48
aula_variants_150/aula_018.wav;aula;194.28;4.15;4.21;2.605;2.849
aula_variants_150/aula_019.wav;aula;175.085;6.062;3.814;2.025;3.801
aula_variants_150/aula_020.wav;aula;209.287;4.436;3.982;2.775;3.589
aula_variants_150/aula_021.wav;aula;235.084;5.832;3.435;2.991;3.011
aula_variants_150/aula_022.wav;aula;197.61;3.233;3.261;3.215;3.135
aula_variants_150/aula_023.wav;aula;192.216;3.721;2.329;2.157;2.184
aula_variants_150/aula_024.wav;aula;192.961;3.094;3.088;2.522;2.728
aula_variants_150/aula_025.wav;aula;187.241;6.125;4.138;2.914;2.962
aula_variants_150/aula_026.wav;aula;200.17;2.33;2.11;2.105;2.111
aula_variants_150/aula_027.wav;aula;231.076;5.916;4.648;3.366;5.484
aula_variants_150/aula_028.wav;aula;222.84;2.073;2.475;2.461;1.879
aula_variants_150/aula_029.wav;aula;179.734;5.239;5.465;2.916;4.133
aula_variants_150/aula_030.wav;aula;191.486;4.4;4.331;2.247;3.044
aula_variants_150/aula_031.wav;aula;156.057;3.356;3.32;2.294;2.322
aula_variants_150/aula_032.wav;aula;183.74;4.767;2.721;1.843;3.056
aula_variants_150/aula_033.wav;aula;198.522;5.426;4.488;3.204;4.737
aula_variants_150/aula_034.wav;aula;231.947;5.865;4.747;2.808;4.059
aula_variants_150/aula_035.wav;aula;193.028;4.706;2.907;2.448;2.941
aula_variants_150/aula_036.wav;aula;197.051;6.554;4.861;2.88;4.888
aula_variants_150/aula_037.wav;aula;235.375;1.618;1.614;1.61;1.025
aula_variants_150/aula_038.wav;aula;204.48;4.989;4.21;3.061;4.307
aula_variants_150/aula_039.wav;aula;229.908;5.527;2.12;1.581;1.982
aula_variants_150/aula_040.wav;aula;193.787;2.317;2.311;2.31;1.666
aula_variants_150/aula_041.wav;aula;186.666;5.935;5.078;3.11;4.609
aula_variants_150/aula_042.wav;aula;218.491;5.93;2.692;2.191;2.584
aula_variants_150/aula_043.wav;aula;207.827;3.102;3.06;1.871;2.041
aula_variants_150/aula_044.wav;aula;217.07;5.929;2.262;1.897;2.72
