wet_audio_file,source_dry,source_rir,room_type,t30_1000Hz,t30_2000Hz,t30_4000Hz,t30_broadband
wet_aula_001.wav,84-121123-0000.flac,aula_variants_150/aula_001.wav,aula,6.54,6.128,2.827,5.357
wet_aula_002.wav,8297-275154-0023.flac,aula_variants_150/aula_002.wav,aula,5.151,4.859,2.602,4.459
wet_aula_003.wav,8297-275154-0020.flac,aula_variants_150/aula_003.wav,aula,6.06,4.33,3.404,4.965
wet_aula_005.wav,1919-142785-0046.flac,aula_variants_150/aula_005.wav,aula,1.342,2.246,1.554,1.336
wet_aula_006.wav,251-136532-0014.flac,aula_variants_150/aula_006.wav,aula,3.234,2.062,2.053,2.065
wet_aula_007.wav,174-168635-0009.flac,aula_variants_150/aula_007.wav,aula,5.361,1.973,1.014,1.032
wet_aula_008.wav,174-50561-0009.flac,aula_variants_150/aula_008.wav,aula,6.779,2.679,2.468,4.442
wet_aula_009.wav,1919-142785-0006.flac,aula_variants_150/aula_009.wav,aula,2.559,1.862,1.858,1.864
wet_aula_011.wav,2902-9008-0008.flac,aula_variants_150/aula_011.wav,aula,5.48,3.583,2.678,4.612
wet_aula_012.wav,84-121123-0000.flac,aula_variants_150/aula_012.wav,aula,6.131,2.273,2.275,3.046
wet_aula_013.wav,8842-304647-0001.flac,aula_variants_150/aula_013.wav,aula,3.038,3.006,2.459,2.482
wet_aula_014.wav,6319-64726-0020.flac,aula_variants_150/aula_014.wav,aula,4.295,3.553,2.298,3.143
wet_aula_015.wav,251-137823-0024.flac,aula_variants_150/aula_015.wav,aula,2.465,2.463,1.428,1.524
wet_aula_016.wav,8297-275155-0019.flac,aula_variants_150/aula_016.wav,aula,2.333,2.146,1.488,2.028
wet_aula_017.wav,3000-15664-0030.flac,aula_variants_150/aula_017.wav,aula,4.003,3.356,2.644,3.48
wet_aula_018.wav,1988-24833-0028.flac,aula_variants_150/aula_018.wav,aula,4.15,4.21,2.605,2.849
wet_aula_019.wav,1988-24833-0026.flac,aula_variants_150/aula_019.wav,aula,6.062,3.814,2.025,3.801
wet_aula_020.wav,5338-24640-0000.flac,aula_variants_150/aula_020.wav,aula,4.436,3.982,2.775,3.589
wet_aula_021.wav,251-136532-0022.flac,aula_variants_150/aula_021.wav,aula,5.832,3.435,2.991,3.011
wet_aula_022.wav,1462-170145-0009.flac,aula_variants_150/aula_022.wav,aula,3.233,3.261,3.215,3.135
wet_aula_025.wav,174-50561-0012.flac,aula_variants_150/aula_025.wav,aula,6.125,4.138,2.914,2.962
wet_aula_028.wav,5694-64038-0021.flac,aula_variants_150/aula_028.wav,aula,2.073,2.475,2.461,1.879
wet_aula_029.wav,3752-4944-0060.flac,aula_variants_150/aula_029.wav,aula,5.239,5.465,2.916,4.133
wet_aula_030.wav,2086-149220-0031.flac,aula_variants_150/aula_030.wav,aula,4.4,4.331,2.247,3.044
wet_aula_031.wav,2428-83699-0023.flac,aula_variants_150/aula_031.wav,aula,3.356,3.32,2.294,2.322
wet_aula_032.wav,251-137823-0024.flac,aula_variants_150/aula_032.wav,aula,4.767,2.721,1.843,3.056
wet_aula_034.wav,6295-244435-0000.flac,aula_variants_150/aula_034.wav,aula,5.865,4.747,2.808,4.059
wet_aula_035.wav,3752-4943-0006.flac,aula_variants_150/aula_035.wav,aula,4.706,2.907,2.448,2.941
wet_aula_036.wav,174-50561-0014.flac,aula_variants_150/aula_036.wav,aula,6.554,4.861,2.88,4.888
wet_aula_039.wav,2428-83705-0003.flac,aula_variants_150/aula_039.wav,aula,5.527,2.12,1.581,1.982
wet_aula_040.wav,84-121123-0015.flac,aula_variants_150/aula_040.wav,aula,2.317,2.311,2.31,1.666
wet_aula_041.wav,6295-64301-0019.flac,aula_variants_150/aula_041.wav,aula,5.935,5.078,3.11,4.609
wet_aula_044.wav,8842-302201-0010.flac,aula_variants_150/aula_044.wav,aula,5.929,2.262,1.897,2.72
wet_aula_046.wav,174-168635-0014.flac,aula_variants_150/aula_046.wav,aula,4.148,4.184,2.412,2.437
wet_aula_047.wav,84-121123-0014.flac,aula_variants_150/aula_047.wav,aula,5.916,3.842,2.124,3.954
wet_aula_049.wav,8297-275154-0022.flac,aula_variants_150/aula_049.wav,aula,1.726,1.783,1.876,1.818
wet_aula_050.wav,5694-64038-0007.flac,aula_variants_150/aula_050.wav,aula,2.743,2.731,2.722,2.745
wet_aula_051.wav,6295-64301-0004.flac,aula_variants_150/aula_051.wav,aula,4.561,3.829,2.815,3.742
wet_aula_054.wav,1272-135031-0014.flac,aula_variants_150/aula_054.wav,aula,6.732,5.6,2.677,4.892
wet_aula_056.wav,3752-4944-0042.flac,aula_variants_150/aula_056.wav,aula,4.284,3.604,2.924,3.77
wet_aula_057.wav,251-136532-0014.flac,aula_variants_150/aula_057.wav,aula,3.245,3.296,2.402,2.528
wet_aula_058.wav,174-168635-0009.flac,aula_variants_150/aula_058.wav,aula,5.422,4.335,3.147,4.896
wet_aula_059.wav,2412-153954-0023.flac,aula_variants_150/aula_059.wav,aula,4.316,2.776,1.574,1.706
wet_aula_060.wav,2277-149896-0033.flac,aula_variants_150/aula_060.wav,aula,4.158,4.12,2.214,2.485
wet_aula_061.wav,1462-170145-0019.flac,aula_variants_150/aula_061.wav,aula,4.311,4.299,1.852,3.321
wet_aula_062.wav,5694-64038-0007.flac,aula_variants_150/aula_062.wav,aula,4.728,3.657,3.485,3.59
wet_aula_063.wav,2086-149220-0020.flac,aula_variants_150/aula_063.wav,aula,2.82,2.502,2.508,2.535
wet_aula_064.wav,1272-135031-0014.flac,aula_variants_150/aula_064.wav,aula,4.831,4.342,3.267,4.389
wet_aula_065.wav,1462-170142-0011.flac,aula_variants_150/aula_065.wav,aula,2.526,2.628,2.635,2.393
wet_aula_066.wav,7850-286674-0006.flac,aula_variants_150/aula_066.wav,aula,4.261,2.131,1.587,2.136
wet_aula_068.wav,2428-83705-0039.flac,aula_variants_150/aula_068.wav,aula,3.4,1.924,1.507,1.944
wet_aula_069.wav,2086-149220-0020.flac,aula_variants_150/aula_069.wav,aula,2.826,2.675,2.332,2.69
wet_aula_070.wav,8297-275154-0024.flac,aula_variants_150/aula_070.wav,aula,2.351,2.307,2.306,1.847
wet_aula_072.wav,3752-4944-0044.flac,aula_variants_150/aula_072.wav,aula,6.597,5.743,4.048,6.009
wet_aula_073.wav,2277-149897-0035.flac,aula_variants_150/aula_073.wav,aula,4.806,4.097,2.88,3.474
wet_aula_074.wav,174-50561-0018.flac,aula_variants_150/aula_074.wav,aula,5.391,2.889,2.561,2.886
wet_aula_076.wav,5694-64029-0027.flac,aula_variants_150/aula_076.wav,aula,5.952,4.625,3.195,4.415
wet_aula_077.wav,6319-64726-0014.flac,aula_variants_150/aula_077.wav,aula,2.777,2.024,2.015,2.058
wet_aula_078.wav,8297-275155-0019.flac,aula_variants_150/aula_078.wav,aula,4.914,4.245,2.431,2.477
wet_aula_079.wav,5694-64038-0007.flac,aula_variants_150/aula_079.wav,aula,4.918,2.793,2.753,2.797
wet_aula_080.wav,2428-83699-0026.flac,aula_variants_150/aula_080.wav,aula,3.345,3.091,2.568,3.0
wet_aula_081.wav,1462-170145-0012.flac,aula_variants_150/aula_081.wav,aula,5.665,3.593,2.985,3.65
wet_aula_082.wav,1272-141231-0020.flac,aula_variants_150/aula_082.wav,aula,5.797,4.046,2.907,4.088
wet_aula_085.wav,3752-4944-0025.flac,aula_variants_150/aula_085.wav,aula,2.898,2.918,2.786,2.826
wet_aula_086.wav,84-121123-0007.flac,aula_variants_150/aula_086.wav,aula,2.003,2.406,2.392,1.994
wet_aula_087.wav,1919-142785-0039.flac,aula_variants_150/aula_087.wav,aula,4.879,4.201,2.415,3.637
wet_aula_088.wav,6319-64726-0014.flac,aula_variants_150/aula_088.wav,aula,5.797,5.559,2.839,5.084
wet_aula_089.wav,2428-83699-0023.flac,aula_variants_150/aula_089.wav,aula,3.665,2.367,2.18,2.228
wet_aula_093.wav,1919-142785-0039.flac,aula_variants_150/aula_093.wav,aula,4.274,4.3,2.193,2.201
wet_aula_095.wav,2428-83699-0024.flac,aula_variants_150/aula_095.wav,aula,5.363,4.308,2.817,4.844
wet_aula_096.wav,5694-64038-0007.flac,aula_variants_150/aula_096.wav,aula,1.47,1.444,1.439,1.457
wet_aula_097.wav,174-50561-0018.flac,aula_variants_150/aula_097.wav,aula,5.057,4.304,2.577,3.117
wet_aula_098.wav,1272-135031-0016.flac,aula_variants_150/aula_098.wav,aula,2.228,2.217,1.878,2.222
wet_aula_099.wav,8297-275154-0012.flac,aula_variants_150/aula_099.wav,aula,6.073,5.092,2.894,4.937
wet_aula_101.wav,6319-64726-0014.flac,aula_variants_150/aula_101.wav,aula,5.015,5.469,2.623,4.311
wet_aula_103.wav,6313-76958-0030.flac,aula_variants_150/aula_103.wav,aula,3.021,3.065,2.691,2.81
wet_aula_104.wav,3000-15664-0003.flac,aula_variants_150/aula_104.wav,aula,5.192,3.927,2.642,4.135
wet_aula_105.wav,2035-147961-0003.flac,aula_variants_150/aula_105.wav,aula,5.97,3.857,2.446,3.948
wet_aula_106.wav,2428-83705-0003.flac,aula_variants_150/aula_106.wav,aula,4.661,3.382,3.231,3.449
wet_aula_107.wav,1988-24833-0028.flac,aula_variants_150/aula_107.wav,aula,6.311,3.741,2.265,2.773
wet_aula_109.wav,3752-4944-0060.flac,aula_variants_150/aula_109.wav,aula,3.743,3.542,2.328,2.342
wet_aula_110.wav,174-50561-0009.flac,aula_variants_150/aula_110.wav,aula,2.987,2.948,2.941,2.953
wet_aula_111.wav,6313-66125-0012.flac,aula_variants_150/aula_111.wav,aula,6.988,4.265,2.559,3.831
wet_aula_113.wav,3752-4944-0005.flac,aula_variants_150/aula_113.wav,aula,1.494,1.46,1.152,1.161
wet_aula_114.wav,1462-170142-0011.flac,aula_variants_150/aula_114.wav,aula,7.496,6.815,2.777,4.356
wet_aula_116.wav,3170-137482-0013.flac,aula_variants_150/aula_116.wav,aula,2.416,2.405,2.062,2.404
wet_aula_117.wav,2277-149897-0019.flac,aula_variants_150/aula_117.wav,aula,5.885,3.595,2.643,3.651
wet_aula_118.wav,2428-83699-0023.flac,aula_variants_150/aula_118.wav,aula,1.578,1.436,1.498,1.16
wet_aula_120.wav,7850-281318-0020.flac,aula_variants_150/aula_120.wav,aula,5.277,3.888,2.997,4.008
wet_aula_121.wav,8297-275155-0019.flac,aula_variants_150/aula_121.wav,aula,4.835,3.748,3.099,4.409
wet_aula_122.wav,2902-9008-0016.flac,aula_variants_150/aula_122.wav,aula,2.989,2.96,2.332,2.386
wet_aula_123.wav,2428-83705-0036.flac,aula_variants_150/aula_123.wav,aula,4.561,4.047,2.742,3.332
wet_aula_124.wav,251-137823-0024.flac,aula_variants_150/aula_124.wav,aula,4.879,4.478,3.018,4.052
wet_aula_125.wav,1919-142785-0046.flac,aula_variants_150/aula_125.wav,aula,6.12,4.666,3.093,5.246
wet_aula_126.wav,5694-64025-0000.flac,aula_variants_150/aula_126.wav,aula,3.875,2.835,2.107,2.744
wet_aula_127.wav,3752-4944-0006.flac,aula_variants_150/aula_127.wav,aula,2.039,2.006,2.014,1.55
wet_aula_128.wav,2086-149220-0038.flac,aula_variants_150/aula_128.wav,aula,5.21,4.617,3.128,4.101
wet_aula_129.wav,8842-304647-0005.flac,aula_variants_150/aula_129.wav,aula,5.532,5.384,2.503,4.096
wet_aula_130.wav,174-50561-0012.flac,aula_variants_150/aula_130.wav,aula,4.971,4.493,2.704,4.772
wet_aula_132.wav,6313-76958-0020.flac,aula_variants_150/aula_132.wav,aula,5.372,4.296,3.07,4.396
wet_aula_133.wav,174-84280-0014.flac,aula_variants_150/aula_133.wav,aula,6.228,5.357,3.604,6.081
wet_aula_135.wav,3752-4943-0016.flac,aula_variants_150/aula_135.wav,aula,5.001,4.543,2.726,3.611
wet_aula_136.wav,2428-83699-0023.flac,aula_variants_150/aula_136.wav,aula,3.818,1.873,1.632,1.879
wet_aula_137.wav,5895-34615-0005.flac,aula_variants_150/aula_137.wav,aula,7.091,4.942,3.334,4.949
wet_aula_138.wav,3752-4944-0029.flac,aula_variants_150/aula_138.wav,aula,3.735,3.579,2.455,2.498
wet_aula_140.wav,6319-57405-0011.flac,aula_variants_150/aula_140.wav,aula,4.782,4.042,2.982,4.303
wet_aula_141.wav,6319-275224-0012.flac,aula_variants_150/aula_141.wav,aula,4.127,2.514,2.394,2.43
wet_aula_142.wav,2035-147961-0028.flac,aula_variants_150/aula_142.wav,aula,2.817,3.002,1.484,2.833
wet_aula_143.wav,3170-137482-0013.flac,aula_variants_150/aula_143.wav,aula,4.175,3.425,2.87,3.349
wet_aula_144.wav,5338-284437-0003.flac,aula_variants_150/aula_144.wav,aula,6.532,3.905,2.448,3.283
wet_aula_145.wav,6319-64726-0014.flac,aula_variants_150/aula_145.wav,aula,2.808,2.783,2.76,2.791
wet_aula_148.wav,1462-170145-0002.flac,aula_variants_150/aula_148.wav,aula,3.888,3.907,2.596,2.635
wet_aula_149.wav,1919-142785-0012.flac,aula_variants_150/aula_149.wav,aula,6.567,5.605,3.321,5.609
wet_aula_150.wav,3000-15664-0030.flac,aula_variants_150/aula_150.wav,aula,4.781,3.472,2.248,2.666
wet_bagno_001.wav,6319-57405-0002.flac,bagno_variants_150/bagno_001.wav,bagno,1.924,2.0,1.671,1.805
wet_bagno_002.wav,1988-24833-0011.flac,bagno_variants_150/bagno_002.wav,bagno,1.532,1.447,1.53,1.307
wet_bagno_004.wav,8297-275154-0023.flac,bagno_variants_150/bagno_004.wav,bagno,1.928,1.996,1.776,1.789
wet_bagno_008.wav,2428-83705-0009.flac,bagno_variants_150/bagno_008.wav,bagno,1.578,1.691,1.598,1.393
wet_bagno_010.wav,1919-142785-0046.flac,bagno_variants_150/bagno_010.wav,bagno,1.616,1.702,1.49,1.502
wet_bagno_012.wav,5694-64029-0027.flac,bagno_variants_150/bagno_012.wav,bagno,1.322,1.405,1.456,1.257
wet_bagno_013.wav,3752-4944-0042.flac,bagno_variants_150/bagno_013.wav,bagno,1.588,1.786,1.563,1.547
wet_bagno_016.wav,6319-275224-0012.flac,bagno_variants_150/bagno_016.wav,bagno,1.665,1.772,1.528,1.598
wet_bagno_018.wav,1919-142785-0063.flac,bagno_variants_150/bagno_018.wav,bagno,1.702,1.526,1.55,1.377
wet_bagno_019.wav,174-84280-0010.flac,bagno_variants_150/bagno_019.wav,bagno,2.026,1.986,1.834,1.845
wet_bagno_020.wav,174-50561-0014.flac,bagno_variants_150/bagno_020.wav,bagno,1.674,1.725,1.557,1.582
wet_bagno_021.wav,2428-83699-0014.flac,bagno_variants_150/bagno_021.wav,bagno,1.694,1.802,1.658,1.551
wet_bagno_022.wav,2035-147960-0009.flac,bagno_variants_150/bagno_022.wav,bagno,1.67,1.807,1.484,1.538
wet_bagno_023.wav,8297-275155-0021.flac,bagno_variants_150/bagno_023.wav,bagno,1.595,1.685,1.569,1.489
wet_bagno_025.wav,2035-147961-0027.flac,bagno_variants_150/bagno_025.wav,bagno,1.57,1.629,1.536,1.448
wet_bagno_026.wav,5694-64038-0008.flac,bagno_variants_150/bagno_026.wav,bagno,1.919,1.849,1.581,1.716
wet_bagno_027.wav,5694-64029-0027.flac,bagno_variants_150/bagno_027.wav,bagno,1.723,1.797,1.503,1.554
wet_bagno_028.wav,1919-142785-0063.flac,bagno_variants_150/bagno_028.wav,bagno,1.749,1.883,1.645,1.674
wet_bagno_029.wav,1988-24833-0011.flac,bagno_variants_150/bagno_029.wav,bagno,1.674,1.819,1.546,1.626
wet_bagno_030.wav,2428-83699-0035.flac,bagno_variants_150/bagno_030.wav,bagno,1.724,1.714,1.506,1.553
wet_bagno_032.wav,1462-170142-0003.flac,bagno_variants_150/bagno_032.wav,bagno,1.811,1.81,1.65,1.646
wet_bagno_033.wav,6295-244435-0000.flac,bagno_variants_150/bagno_033.wav,bagno,1.562,1.725,1.568,1.535
wet_bagno_034.wav,1919-142785-0024.flac,bagno_variants_150/bagno_034.wav,bagno,1.883,1.912,1.704,1.733
wet_bagno_035.wav,5338-24640-0000.flac,bagno_variants_150/bagno_035.wav,bagno,1.779,1.689,1.701,1.557
wet_bagno_036.wav,6295-244435-0000.flac,bagno_variants_150/bagno_036.wav,bagno,1.755,1.798,1.539,1.622
wet_bagno_037.wav,2902-9008-0016.flac,bagno_variants_150/bagno_037.wav,bagno,1.479,1.483,1.472,1.373
wet_bagno_038.wav,3752-4944-0044.flac,bagno_variants_150/bagno_038.wav,bagno,1.612,1.786,1.643,1.575
wet_bagno_039.wav,6295-64301-0004.flac,bagno_variants_150/bagno_039.wav,bagno,1.716,1.832,1.68,1.543
wet_bagno_041.wav,1272-141231-0020.flac,bagno_variants_150/bagno_041.wav,bagno,1.525,1.441,1.479,1.353
wet_bagno_043.wav,8297-275154-0023.flac,bagno_variants_150/bagno_043.wav,bagno,1.695,1.812,1.706,1.638
wet_bagno_044.wav,8297-275154-0026.flac,bagno_variants_150/bagno_044.wav,bagno,1.991,2.024,1.814,1.88
wet_bagno_045.wav,2428-83705-0039.flac,bagno_variants_150/bagno_045.wav,bagno,1.685,1.834,1.542,1.571
wet_bagno_046.wav,251-137823-0000.flac,bagno_variants_150/bagno_046.wav,bagno,1.898,1.853,1.541,1.591
wet_bagno_047.wav,5694-64029-0027.flac,bagno_variants_150/bagno_047.wav,bagno,1.786,1.737,1.602,1.559
wet_bagno_048.wav,8842-304647-0007.flac,bagno_variants_150/bagno_048.wav,bagno,1.861,1.966,1.753,1.74
wet_bagno_049.wav,2428-83699-0023.flac,bagno_variants_150/bagno_049.wav,bagno,1.861,1.85,1.814,1.722
