band,bracket,n_samples,mean_T30,MAPE_est_%,MAE_global
1 kHz,0–0.5,31,0.191,238.1,0.455
1 kHz,0.5–1,10,0.713,63.8,0.455
1 kHz,1–1.5,17,1.286,35.4,0.455
1 kHz,1.5–2,35,1.703,26.7,0.455
1 kHz,2–2.5,6,2.3,19.8,0.455
1 kHz,2.5–3,7,2.833,16.1,0.455
1 kHz,3–3.5,10,3.187,14.3,0.455
1 kHz,3.5–5,30,4.332,10.5,0.455
1 kHz,>5,23,6.063,7.5,0.455
2 kHz,0–0.5,40,0.201,180.3,0.362
2 kHz,0.5–1,9,0.768,47.1,0.362
2 kHz,1–1.5,22,1.263,28.7,0.362
2 kHz,1.5–2,28,1.79,20.2,0.362
2 kHz,2–2.5,7,2.286,15.8,0.362
2 kHz,2.5–3,8,2.755,13.1,0.362
2 kHz,3–3.5,11,3.281,11.0,0.362
2 kHz,3.5–5,39,4.079,8.9,0.362
2 kHz,>5,5,5.805,6.2,0.362
4 kHz,0–0.5,43,0.192,166.9,0.32
4 kHz,0.5–1,17,0.81,39.5,0.32
4 kHz,1–1.5,15,1.282,25.0,0.32
4 kHz,1.5–2,32,1.668,19.2,0.32
4 kHz,2–2.5,22,2.319,13.8,0.32
4 kHz,2.5–3,20,2.767,11.6,0.32
4 kHz,3–3.5,12,3.218,9.9,0.32
4 kHz,3.5–5,8,4.135,7.7,0.32
